url,title,price,address,area,floor,year,metro_name,metro_time,house_type,_error,lat,lon,schools_count_800m,clinics_count_800m,kindergartens_count_800m
https://www.cian.ru/sale/flat/323460406/,"Продаются 1-комн. апартаменты, 67,6 м²",35 561 400 ₽,"Москва, САО, р-н Хорошевский, ул. Зорге, 9Ак7","67,6 м²",23 из 23,,Зорге,12 мин.,Монолитно-кирпичный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/322917199/,"Продается 3-комн. квартира, 89 м²",45 700 000 ₽,"Москва, СВАО, р-н Бутырский, ул. Фонвизина, 18",89 м²,8 из 23,,Фонвизинская,3 мин.,Монолитный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/301524223/,"Продается 4-комн. квартира, 122,3 м²",73 380 000 ₽,"Москва, СВАО, р-н Марфино, Ботаническая ул., 29Ак3","122,3 м²",29 из 31,,Владыкино,17 мин.,Монолитный,,55.82235849,37.602693991,3,0,4
https://www.cian.ru/sale/flat/319197128/,,,,,,,,,,,29.3644727,112.3905651,1,2,0
https://www.cian.ru/sale/flat/321969271/,"Продается 3-комн. квартира, 82 м²",37 000 000 ₽,"Москва, САО, р-н Хорошевский, Хорошевское ш., 12к1",82 м²,21 из 37,2010.0,Беговая,3 мин.,Монолитный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/321360749/,"Продается 3-комн. квартира, 64,7 м²",38 572 523 ₽,"Москва, САО, р-н Хорошевский, Амбер Сити жилой комплекс","64,7 м²",4 из 54,,Беговая,8 мин.,,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/313189120/,"Продается 3-комн. квартира, 61,3 м²",30 220 900 ₽,"Москва, СВАО, р-н Марфино, Вери жилой комплекс","61,3 м²",14 из 29,,Фонвизинская,20 мин.,,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/320268114/,"Продается 1-комн. квартира, 39,9 м²",13 900 000 ₽,"Москва, СВАО, р-н Марьина роща, Стрелецкая ул., 9К2","39,9 м²",1 из 14,1989.0,Марьина Роща,12 мин.,Панельный,,55.796003,37.602247,3,10,2
https://www.cian.ru/sale/flat/321862136/,"Продается 3-комн. квартира, 61,89 м²",25 000 000 ₽,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплекс","61,89 м²",15 из 49,,Марьина Роща,11 мин.,Монолитно-кирпичный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/321579786/,"Продается 2-комн. квартира, 44 м²",14 500 000 ₽,"Москва, СВАО, р-н Бутырский, ул. Руставели, 6АК1",44 м²,1 из 5,1961.0,Дмитровская,11 мин.,Кирпичный,,55.741469,37.615561,7,7,0
